q	E	mux	muy	muz
0.4	11911.76444041729	1.484497866995782	0.9871858544479245	-0.6367629700569137
0.425	12752.85695001483	1.6110484379186587	1.0772483653877658	-0.6918139222880844
0.45	13563.201068103313	1.7410202013278417	1.1699601400188975	-0.7485678455191251
0.475	14340.448416560888	1.8742095632276743	1.2651613024071524	-0.8070196562545138
0.5	15082.68956631422	2.0104477515668266	1.3626785053552306	-0.8670745473027652
0.525	15788.673512101173	2.1492912313610035	1.4621348076701757	-0.9286094980722469
0.55	16457.763777673244	2.29030765131606	1.5632071532115646	-0.9915444435084874
0.575	17089.543361246586	2.433376024238571	1.665758033425527	-1.0558323612779081
0.6	17683.968367874622	2.577970462516787	1.7693782269225427	-1.1212282268963487
0.625	18241.697221398354	2.7238123905961014	1.8738656647556111	-1.1876669716211279
0.65	18763.520030379295	2.870331440278947	1.9787750327170055	-1.2549386470871866
0.675	19250.775589823723	3.0172818245568336	2.0839075661318156	-1.3229021862937895
0.7	19705.000221967697	3.16415722727577	2.1888987783711147	-1.3914216057357232
0.725	20128.278935551643	3.310377367421922	2.293337922996724	-1.46028492364972
0.75	20523.113740950823	3.4555104020506935	2.396926344646727	-1.5293098967213163
0.775	20892.116385936737	3.5991890486106213	2.499455874179497	-1.5983546954254486
0.8	21238.535094559193	3.740831246864435	2.600415111945521	-1.6671013471172158
0.825	21565.903407931328	3.8799693152241126	2.6995885177346675	-1.7354293729527461
0.85	21878.41329085827	4.015740076150017	2.7964835008308526	-1.8030749395144476
0.875	22180.585920125246	4.148265025185124	2.8911026029818383	-1.8699170596088976
0.9	22477.118052214384	4.277282362310051	2.98325519310555	-1.9357218924420831
0.925	22773.035655379295	4.4020514222272435	3.072578817971269	-2.0002756770273047
0.95	23073.51833024621	4.522179250732849	3.158908263974529	-2.063480301900987
0.975	23384.096836686134	4.637669152098958	3.2422178594629463	-2.1252923031764177
1.0	23710.82867372036	4.748371925732	3.3224066970504067	-2.185570613852861
1.025	24059.420180886984	4.854230636482128	3.3995090903316854	-2.244192975863013
1.05	24435.094853699207	4.954914348790861	3.4734190484251473	-2.301049839878374
1.075	24842.74697574973	5.050808391618764	3.544372191348238	-2.3563010818331116
1.1	25288.038991719484	5.141636731158994	3.6121524705412735	-2.4097992803570873
1.125	25775.909080058336	5.227691160054514	3.6770842130185555	-2.461686010800589
1.15	26309.78104454279	5.309108170160091	3.739300352187985	-2.511986436466451
1.175	26892.705582141876	5.38589767429199	3.7987866542621007	-2.5606606519148247
1.2	27527.64559993148	5.458167188380503	3.8556267427422393	-2.6076928983095926
1.225	28216.334947288036	5.526400152849772	3.9101363027003173	-2.6533439589710333
1.25	28958.663886874914	5.590924707335741	3.9624716516236353	-2.697821240516444
1.275	29753.88620504737	5.651610460178274	4.012532390475634	-2.740988505265835
1.3	30600.641159296036	5.708610424592578	4.060410530525264	-2.7828175398190598
1.325	31495.28547129035	5.762592317715473	4.1065307978233845	-2.823685031194299
1.35	32432.46396073699	5.813576981878596	4.150732808086278	-2.863653252211695
1.375	33406.733657598495	5.861543320575532	4.193025203256334	-2.902510221107983
1.4	34411.13721701503	5.906978841026839	4.233527445478317	-2.9404867285798595
1.425	35436.21528381109	5.9505751527982875	4.272622321965033	-2.977994537764608
1.45	36472.35487040877	5.991526013500086	4.309641861404895	-3.0144709057079435
1.475	37509.65767237544	6.03064452824098	4.345080687912189	-3.050178903303128
